"id"	"locality"	"section"	"group_of_sites_spatial"	"type_of_sites_ecological"	"site"	"year"	"month"	"date"	"observer_1"	"observer_2"	"start_cm_of_grub"	"end_cm_of_grub"	"picking"	"bulldozing"	"cratering"	"comment"
"22"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	400	NA	1	0	0	NA
"23"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	410	NA	1	0	0	NA
"24"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	427	NA	1	0	0	NA
"25"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	650	700	0	0	0	NA
"26"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	2650	NA	1	0	0	NA
"27"	"adv-end-1-mos-1"	"adv"	"end"	1	"mos"	1	2023	7	"15"	"tabor_noteboom"	"virve_ravolainen"	2730	NA	1	0	0	NA
"28"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	280	NA	1	0	0	NA
"29"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	690	730	1	0	0	NA
"30"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	950	1040	1	0	0	NA
"31"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	1270	NA	1	0	0	NA
"32"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	1620	NA	1	0	0	NA
"33"	"adv-end-1-mos-2"	"adv"	"end"	1	"mos"	2	2023	7	"18"	"tabor_noteboom"	"zabdi_lopez"	1970	NA	1	0	0	NA
"34"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	210	260	1	0	0	NA
"35"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	640	740	0	1	0	NA
"36"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	810	890	0	1	0	NA
"37"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	1300	1470	0	0	1	NA
"38"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	1530	1710	0	0	1	NA
"39"	"adv-end-2-dis-1"	"adv"	"end"	2	"dis"	1	2023	7	"26"	"zabdi_lopez"	NA	1830	1900	0	1	0	NA
"40"	"adv-end-2-dry-1"	"adv"	"end"	2	"dry"	1	2023	7	"26"	"zabdi_lopez"	"clement_brun"	300	310	1	0	0	NA
"41"	"adv-end-2-mos-1"	"adv"	"end"	2	"mos"	1	2023	7	"26"	"clement_brun"	"zabdi_lopez"	NA	NA	0	0	0	"no signals of disturbance"
"42"	"adv-han-1-dis-1"	"adv"	"han"	1	"dis"	1	2023	7	"31"	"clement_brun"	"zabdi_lopez"	130	140	1	0	0	NA
"43"	"adv-han-1-dis-1"	"adv"	"han"	1	"dis"	1	2023	7	"31"	"clement_brun"	"zabdi_lopez"	800	820	1	0	0	NA
"44"	"adv-han-1-dis-1"	"adv"	"han"	1	"dis"	1	2023	7	"31"	"clement_brun"	"zabdi_lopez"	900	950	1	0	0	NA
"45"	"adv-han-1-dis-1"	"adv"	"han"	1	"dis"	1	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2700	3000	1	0	0	NA
"46"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	330	430	0	0	1	NA
"47"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	780	780	1	0	0	NA
"48"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	1496	1530	1	0	0	NA
"49"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	1680	1680	1	0	0	NA
"50"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2070	2070	1	0	0	NA
"51"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2130	2150	1	0	0	NA
"52"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2520	2520	1	0	0	NA
"53"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2670	2700	1	0	0	NA
"54"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2740	2850	0	1	0	NA
"55"	"adv-han-1-dis-2"	"adv"	"han"	1	"dis"	2	2023	7	"31"	"clement_brun"	"zabdi_lopez"	2880	2880	1	0	0	NA
"56"	"adv-han-1-dry-1"	"adv"	"han"	1	"dry"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	NA	NA	0	0	0	"no grubbing"
"57"	"adv-han-1-dry-2"	"adv"	"han"	1	"dry"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	NA	NA	0	0	0	"no grubbing"
"58"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	0	80	1	0	0	NA
"59"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	350	350	1	0	0	NA
"60"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	590	590	1	0	0	NA
"61"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	1470	1500	1	0	0	NA
"62"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	1790	1830	1	0	0	NA
"63"	"adv-han-1-mos-1"	"adv"	"han"	1	"mos"	1	2023	7	"31"	"zabdi_lopez"	"clement_brun"	2670	2670	1	0	0	NA
"64"	"adv-han-1-mos-2"	"adv"	"han"	1	"mos"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	420	420	1	0	0	NA
"65"	"adv-han-1-mos-2"	"adv"	"han"	1	"mos"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	1330	1330	1	0	0	NA
"66"	"adv-han-1-mos-2"	"adv"	"han"	1	"mos"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	1450	1600	1	1	0	NA
"67"	"adv-han-1-mos-2"	"adv"	"han"	1	"mos"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	1950	1950	1	0	0	NA
"68"	"adv-han-1-mos-2"	"adv"	"han"	1	"mos"	2	2023	7	"31"	"zabdi_lopez"	"clement_brun"	2040	2040	1	0	0	NA
"69"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	40	60	1	0	0	NA
"70"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	170	180	1	0	0	NA
"71"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	780	890	1	0	0	NA
"72"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	1130	1145	1	0	0	NA
"73"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	2440	2445	1	0	0	NA
"74"	"adv-jan-1-dis-1"	"adv"	"jan"	1	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	2650	2650	1	0	0	NA
"75"	"adv-jan-1-dis-2"	"adv"	"jan"	1	"dis"	2	2023	7	"22"	"tabor_noteboom"	NA	250	290	1	0	0	NA
"76"	"adv-jan-1-dis-2"	"adv"	"jan"	1	"dis"	2	2023	7	"22"	"tabor_noteboom"	NA	310	320	1	0	0	NA
"77"	"adv-jan-1-dis-2"	"adv"	"jan"	1	"dis"	2	2023	7	"22"	"tabor_noteboom"	NA	780	890	1	0	0	NA
"78"	"adv-jan-1-dry-1"	"adv"	"jan"	1	"dry"	1	2023	7	"22"	"tabor_noteboom"	NA	NA	NA	0	0	0	"no grubbing"
"79"	"adv-jan-1-dry-2"	"adv"	"jan"	1	"dry"	2	2023	7	"22"	"tabor_noteboom"	"zabdi_lopez"	NA	NA	0	0	0	"no picking"
"80"	"adv-jan-1-mos-1"	"adv"	"jan"	1	"mos"	1	2023	7	"22"	"tabor_noteboom"	"zabdi_lopez"	1600	1620	1	0	0	NA
"81"	"adv-jan-1-mos-1"	"adv"	"jan"	1	"mos"	1	2023	7	"22"	"tabor_noteboom"	"zabdi_lopez"	2970	2980	1	0	0	NA
"82"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	50	80	1	0	0	NA
"83"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	230	250	0	1	0	NA
"84"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	840	860	1	0	0	NA
"85"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	940	990	1	0	0	"hard to say if its from this year"
"86"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	2480	2490	1	0	0	NA
"87"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	2530	2560	1	0	0	NA
"88"	"adv-jan-1-mos-2"	"adv"	"jan"	1	"mos"	2	2023	7	"22"	"tabor_noteboom"	NA	2830	2850	1	0	0	NA
"89"	"adv-jan-2-dis-1"	"adv"	"jan"	2	"dis"	1	2023	7	"22"	"tabor_noteboom"	NA	NA	NA	0	0	0	"no grubbing, only reindeer hoofprints"
"90"	"adv-jan-2-dry-1"	"adv"	"jan"	2	"dry"	1	2023	7	"22"	"tabor_noteboom"	NA	NA	NA	0	0	0	"no grubbing"
"91"	"adv-jan-2-mos-1"	"adv"	"jan"	2	"mos"	1	2023	7	"22"	"tabor_noteboom"	NA	NA	NA	0	0	0	"no grubbing, only reindeer hoofprints"
"92"	"alk-alk-1-mos-1"	"alk"	"alk"	1	"mos"	1	2023	8	"3"	"zabdi_lopez"	"clement_brun"	NA	NA	0	0	0	"no grubbing"
"93"	"alk-alk-1-mos-2"	"alk"	"alk"	1	"mos"	2	2023	8	"3"	"zabdi_lopez"	"clement_brun"	20	20	1	0	0	NA
"94"	"alk-alk-2-mos-1"	"alk"	"alk"	2	"mos"	1	2023	8	"3"	"clement_brun"	"zabdi_lopez"	NA	NA	0	0	0	"no grubbing"
"95"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"96"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"97"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"98"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"99"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"100"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"101"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"102"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"103"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"104"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"105"	"bro-lei-1-dry-1"	"bro"	"lei"	1	"dry"	1	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"106"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"107"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"108"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"109"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"110"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"111"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"112"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"113"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"114"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"115"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"116"	"bro-lei-1-dry-2"	"bro"	"lei"	1	"dry"	2	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"117"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"118"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"119"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"120"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"121"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"122"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"123"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"124"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"125"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"126"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"127"	"bro-lei-1-dry-3"	"bro"	"lei"	1	"dry"	3	2023	7	"26"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"128"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	107	NA	1	0	0	NA
"129"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	272	NA	1	0	0	NA
"130"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1070	NA	1	0	0	NA
"131"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1704	NA	1	0	0	NA
"132"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1722	NA	1	0	0	NA
"133"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1738	NA	1	0	0	NA
"134"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1809	NA	1	0	0	NA
"135"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1925	NA	1	0	0	NA
"136"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"137"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"138"	"bro-sim-1-dis-1"	"bro"	"sim"	1	"dis"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"139"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	350	NA	1	0	0	NA
"140"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	437	NA	1	0	0	NA
"141"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	507	NA	1	0	0	NA
"142"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	775	NA	1	0	0	NA
"143"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1018	NA	1	0	0	NA
"144"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1960	NA	1	0	0	NA
"145"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	2410	NA	1	0	0	NA
"146"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	2627	NA	1	0	0	NA
"147"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"148"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"149"	"bro-sim-1-dis-2"	"bro"	"sim"	1	"dis"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"150"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	615	NA	1	0	0	NA
"151"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	660	NA	1	0	0	NA
"152"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	745	NA	1	0	0	NA
"153"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	795	NA	1	0	0	NA
"154"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1650	NA	1	0	0	NA
"155"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1762	NA	1	0	0	NA
"156"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1915	NA	1	0	0	NA
"157"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1970	NA	1	0	0	NA
"158"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	2725	NA	1	0	0	NA
"159"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	2877	NA	1	0	0	NA
"160"	"bro-sim-1-dis-3"	"bro"	"sim"	1	"dis"	3	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"161"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	918	NA	1	0	0	NA
"162"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1002	NA	1	0	0	NA
"163"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1130	NA	1	0	0	NA
"164"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"165"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"166"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"167"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"168"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"169"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"170"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"171"	"bro-sim-1-mos-1"	"bro"	"sim"	1	"mos"	1	2023	7	"27"	"jesper_mosbacher"	"david_studer"	NA	NA	0	0	0	NA
"172"	"bro-sim-1-mos-2"	"bro"	"sim"	1	"mos"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	240	NA	1	0	0	NA
"173"	"bro-sim-1-mos-2"	"bro"	"sim"	1	"mos"	2	2023	7	"27"	"jesper_mosbacher"	"david_studer"	1448	NA	1	0	0	NA
