year;date;place;transect ;plot;transect_plot;habitat;frame_no;grub_SPR;probe_SPR ;p_a;observer;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;4;25;2;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;5;25;3;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;6;25;8;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;4;34;15;8;25;na;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;6;25;1;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;1;41;15;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;1;25;2;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;2;25;1;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;2;42;11;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;1;25;3;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;2;25;6;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;3;43;11;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;1;25;4;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;2;25;6;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;16_July;Hanaskogdalen N;4;4;44;15;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;1;25;2;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;2;25;3;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;6;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;7;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;1;51;11;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;3;25;3;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;4;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;5;50;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;6;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;2;52;11;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;2;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;3;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;4;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;7;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;3;53;11;8;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
