year;date;location;transect;plot;transect_plot;frame_no;frame_square;grub;observer;utm_x;utm_y;grub_prob
2012;1807;Hanaskogdalen_N;1;1;11;5;20;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;21;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;22;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;23;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;24;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;25;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;1;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;2;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;3;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;4;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;5;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;6;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;7;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;8;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;9;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;10;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;11;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;12;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;13;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;14;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;15;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;16;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;17;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;18;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;19;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;20;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;21;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;22;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;23;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;24;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;6;25;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;1;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;2;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;3;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;4;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;5;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;6;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;7;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;8;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;9;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;10;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;11;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;12;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;13;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;14;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;15;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;16;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;17;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;18;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;19;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;20;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;21;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;22;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;23;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;24;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;7;25;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;1;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;2;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;3;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;4;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;5;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;6;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;7;1;AL;514141;8690292;0.5333
