OBJECTID;Survey_type;Plot_Type;Valley;Transect_no;Plot_no;Date;Year;Recorder;GPS_X;GPS_Y;Coordinate_system;Elev;Slope;Veg_type;Veg_type2;Veg_type_reduced;Star;Agent;Geese_present;Only_geese;Area_impacted;Grubbed_low;Grubbed_mid;Grubbed_high;Patch_size_bare;Recent_grubbing;Grubbing_present;LT_veg_change;Spatial_extent;Comment;NoteRene;NoteHelen
216;Plot;Large;Istjorndalen;NA;66;NA;2018;RvdW;506064;8659949;ED1950;230;8.58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;Plot;Large;Istjorndalen;NA;68;NA;1998;RvdW;505288;8659740;ED1950;210;8.48;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
217;Plot;Large;Istjorndalen;NA;68;NA;2018;RvdW;505288;8659740;ED1950;210;8.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;Plot;Large;Istjorndalen;NA;70;NA;1998;RvdW;505603;8659734;ED1950;195;5.03;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
218;Plot;Large;Istjorndalen;NA;70;NA;2018;RvdW;505603;8659734;ED1950;195;5.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;Plot;Large;Semmeldalen;NA;71;NA;1998;RvdW;507316;8657533;ED1950;85;5.26;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
219;Plot;Large;Semmeldalen;NA;71;NA;2018;RvdW;507316;8657533;ED1950;85;5.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;Plot;Large;Istjorndalen;NA;72;NA;1998;RvdW;505762;8659740;ED1950;205;1.84;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
220;Plot;Large;Istjorndalen;NA;72;NA;2018;RvdW;505762;8659740;ED1950;205;1.84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;Plot;Large;Semmeldalen;NA;73;NA;1998;RvdW;507230;8657375;ED1950;95;3.4;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
