ID,UTM_E,UTM_N
844,425470.9059,8760228.28
845,425470.4609,8760229.18
846,425470.0159,8760230.08
847,425469.5709,8760230.98
848,425469.1259,8760231.88
849,425468.6809,8760232.78
850,425468.2359,8760233.68
851,425467.7909,8760234.58
852,425467.3459,8760235.48
853,425466.9009,8760236.38
854,425466.4559,8760237.28
855,425466.0109,8760238.18
856,425465.5659,8760239.08
857,425465.1209,8760239.98
858,425464.6759,8760240.88
859,425464.2309,8760241.78
860,425463.7859,8760242.68
861,425463.3409,8760243.58
862,425462.8959,8760244.48
863,425462.4509,8760245.38
864,425462.0059,8760246.28
865,425461.5609,8760247.18
866,425461.1159,8760248.08
867,425460.6709,8760248.98
868,425460.2259,8760249.88
869,425459.7809,8760250.78
870,425459.3359,8760251.68
871,425458.8909,8760252.58
872,425458.4459,8760253.48
873,425458.0009,8760254.38
874,425457.5559,8760255.28
875,425457.1109,8760256.18
876,425456.6659,8760257.08
877,425456.2209,8760257.98
878,425455.7759,8760258.88
879,425455.3309,8760259.78
880,425454.8859,8760260.68
881,425454.4409,8760261.58
882,425453.9959,8760262.48
883,425453.5509,8760263.38
884,425453.1059,8760264.28
885,425452.6609,8760265.18
886,425452.2159,8760266.08
887,425451.7709,8760266.98
888,425451.3259,8760267.88
889,425450.8809,8760268.78
890,425450.4359,8760269.68
891,425449.9909,8760270.58
892,425449.5459,8760271.48
893,425449.1009,8760272.38
894,425448.6559,8760273.28
895,425448.2109,8760274.18
896,425447.7659,8760275.08
897,425447.3209,8760275.98
898,425446.8759,8760276.88
899,425446.4309,8760277.78
900,425445.9859,8760278.68
901,425445.5409,8760279.58
902,425445.0959,8760280.48
903,425444.6509,8760281.38
904,425444.2059,8760282.28
905,425443.7609,8760283.18
906,425443.3159,8760284.08
907,425442.8709,8760284.98
908,425442.4259,8760285.88
909,425441.9809,8760286.78
910,425441.5359,8760287.68
911,425441.0909,8760288.58
912,425440.6459,8760289.48
913,425440.2009,8760290.38
914,425439.7559,8760291.28
915,425439.3109,8760292.18
