Year,Sublocation,Survey_type,UTM_E,UTM_N,Datum,Grubbing_PresenceAbsence,Grubbing_Intensity,VegetationType_as_provided,DataShepherd,SpatialScale_GrubbingRecording,VegetationType_reclassified,Location_Valley,UTMZone,GrubbingType
2018,Colesdalen,Valleywalk,502546,8669187,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502554,8669206,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502562,8669225,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502570,8669245,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502578,8669264,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502586,8669284,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502746,8669671,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503018,8670330,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503034,8670368,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503591,8669398,ED1950,0,0.75,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503576,8669382,ED1950,1,0.025,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503057,8668821,ED1950,0,0.375,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502981,8668738,ED1950,0,0.75,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502752,8668491,ED1950,0,0.75,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502493,8668210,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,501898,8667567,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,501883,8667550,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503475,8669514,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503479,8669491,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503483,8669468,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503486,8669444,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503490,8669421,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503494,8669398,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503501,8669351,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503551,8669049,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503743,8667864,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503759,8667771,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503789,8667585,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,503793,8667562,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508833,8667401,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508831,8667362,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508811,8667008,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508810,8666989,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508754,8665946,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508752,8665907,WGS1984,0,0.375,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508751,8665887,WGS1984,0,0.025,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508020,8669807,WGS1984,1,0.025,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508022,8669751,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508032,8669400,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508032,8669389,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508032,8669377,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508032,8669366,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508033,8669355,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508033,8669343,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508033,8669332,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508034,8669321,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508034,8669309,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508034,8669298,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508035,8669287,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508035,8669275,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,508035,8669264,WGS1984,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Semmeldalen,Valleywalk,507752,8657160,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,507770,8657152,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,507911,8657087,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,507929,8657079,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508141,8656982,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508336,8656892,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508353,8656884,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508442,8656844,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508477,8656828,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508495,8656819,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508512,8656811,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508530,8656803,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508548,8656795,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508565,8656787,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508583,8656779,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508654,8656746,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
